基礎編,長文４,愛煙家,あいえんか,名詞,
完成編,7,～得る,～うる／える,動詞（機能語）,
完成編,０３聴解問題,～気味,～ぎみ,接辞（接尾語）,
完成編,０６関連語,～取る,～とる,動詞（複合成分）,
完成編,9,ＩＯＣ,あいおーしー,名詞（固有）,
完成編,長文１,相変わらず,あいかわらず,副詞,
基礎編,20,愛し合う,あいしあう,動詞（複合動詞）,
基礎編,20,合図,あいず,動詞／名詞,
基礎編,17,アイススケート,あいすすけーと,名詞（カタ）,
基礎編,12,アイスホッケー,あいすほっけー,名詞（カタ）,
完成編,１０関連,相席,あいせき,動詞／名詞,
基礎編,6,間,あいだ,名詞,時間の意味
完成編,5,愛着,あいちゃく,名詞,
基礎編,10,あいつ,あいつ,名詞,
基礎編,3,アイディア（アイデア）,あいでぃあ,名詞（カタ）,
完成編,3,ＩＴ（情報技術）,アイティー（じょうほうぎじゅつ）,名詞,
完成編,会話１,あいにく,あいにく,副詞,
完成編,9,あいまい,あいまい,な形容詞,
基礎編,20,～合う,あう,動詞（複合成分）,
完成編,０８聴解問題,アウト,あうと,名詞（カタ）,
完成編,11,扇ぐ,あおぐ,動詞,
基礎編,16,青空,あおぞら,名詞,
完成編,１１※,赤字,あかじ,名詞,
基礎編,17,赤っぽい,あかっぽい,い形容詞（複合）,
完成編,０６関連語,挙がる,あがる,動詞,
基礎編,17,飽きっぽい,あきっぽい,い形容詞（複合）,
完成編,4,空き箱,あきばこ,名詞,
完成編,4,明らか,あきらか,な形容詞,
基礎編,17,飽きる,あきる,動詞,
完成編,4,空く,あく,動詞,
基礎編,20,握手,あくしゅ,動詞／名詞,
完成編,０４関連語,悪臭,あくしゅう,名詞,
基礎編,6,アクセル,あくせる,名詞（カタ）,
完成編,０８関連語,アクセント,あくせんと,名詞（カタ）,
完成編,8,悪魔,あくま,名詞,
完成編,会話４,あくまで（も）,あくまで（も）,副詞,
完成編,10,揚げ足を取る,あげあしをとる,慣用句,
基礎編,16,明ける,あける,動詞,梅雨が明ける
完成編,０１関連語,挙げる,あげる,動詞,
完成編,０３関連語,～上げる,あげる,動詞（複合成分）,
基礎編,2,あご,あご,名詞,
基礎編,13,あこれる,あこがれる,動詞,
完成編,会話４,朝一番,あさいちばん,名詞,
基礎編,20,脚,あし,名詞,脚を組む
基礎編,2,足首,あしくび,名詞,
